Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Brandon Williams,PG,26.0,DAL,65.0,1438.0,16.8,0.571,25.2,1.1,1.3,2.4,0.081,0.1,0.2,0.3,0.8,15.0,13.0,2.9,3.9,0.9,0.3,1.9,0.47,0.234,0.795,2270735.0,2.270735
Jrue Holiday,PG,35.0,POR,49.0,1426.0,16.8,0.58,23.5,2.0,1.4,3.4,0.114,2.7,-0.5,2.2,1.5,47.0,16.3,4.5,6.1,1.1,0.1,2.8,0.458,0.389,0.83,32400000.0,32.4
Tari Eason,PF,24.0,HOU,55.0,1424.0,13.0,0.516,18.8,0.6,2.1,2.7,0.091,-1.7,0.1,-1.6,0.2,33.0,10.5,6.3,1.5,1.2,0.5,1.4,0.416,0.369,0.75,5675766.0,5.675766
Jalen Suggs,PG,24.0,ORL,52.0,1423.0,15.8,0.562,23.2,0.2,2.2,2.4,0.079,0.6,1.9,2.4,1.6,51.0,13.8,3.9,5.4,1.9,0.7,2.7,0.44,0.326,0.852,35000000.0,35.0
Bilal Coulibaly,SG,21.0,WAS,54.0,1422.0,12.9,0.521,19.6,-0.1,0.8,0.7,0.023,-2.2,-0.3,-2.6,-0.2,54.0,11.4,4.4,2.6,1.4,0.9,1.5,0.416,0.308,0.747,7275600.0,7.2756
Spencer Jones,SF,24.0,DEN,64.0,1417.0,9.3,0.619,9.7,1.5,1.2,2.6,0.089,-2.5,0.0,-2.5,-0.2,37.0,5.5,3.3,0.8,0.8,0.5,0.5,0.504,0.396,0.608,623967.0,0.623967
Sidy Cissoko,SF,21.0,POR,71.0,1414.0,7.1,0.514,12.6,0.0,1.3,1.3,0.044,-4.5,0.5,-4.1,-0.7,26.0,5.3,2.3,1.5,0.7,0.4,1.0,0.399,0.301,0.651,686243.0,0.686243
Grayson Allen,SG,30.0,PHO,48.0,1413.0,16.1,0.567,24.0,2.3,1.5,3.7,0.126,2.0,0.0,2.0,1.4,26.0,17.1,3.0,4.0,1.3,0.3,1.6,0.405,0.352,0.852,16875000.0,16.875
Ajay Mitchell,SG,23.0,OKC,54.0,1408.0,17.1,0.591,22.0,2.1,2.6,4.7,0.161,0.5,1.6,2.1,1.4,15.0,13.9,3.4,3.6,1.3,0.3,1.5,0.489,0.351,0.873,3000000.0,3.0
Ryan Kalkbrenner,C,24.0,CHO,65.0,1404.0,18.1,0.754,11.8,3.4,2.0,5.4,0.186,0.5,1.4,1.9,1.4,31.0,7.7,5.5,0.8,0.5,1.5,0.9,0.746,0.0,0.708,2296274.0,2.296274
Kyshawn George,SF,22.0,WAS,48.0,1391.0,13.9,0.559,22.8,0.2,0.5,0.7,0.023,-0.5,-0.7,-1.2,0.3,48.0,14.8,5.1,4.5,1.0,0.9,2.6,0.438,0.381,0.802,2966760.0,2.96676
Ben Sheppard,SG,24.0,IND,65.0,1390.0,9.8,0.561,13.8,0.8,0.6,1.4,0.048,-2.4,-0.7,-3.0,-0.4,20.0,7.1,3.0,1.8,0.6,0.1,0.6,0.434,0.362,0.765,2790720.0,2.79072
